0,0,0
2,0,0
4,0,0
6,0,0
8,0,0
10,0,0
12,0,0
14,0,0
16,0,0
18,0,0
20,0,0
22,0,0
24,0,0
0,1,0
2,1,0
4,1,0
6,1,0
8,1,0
10,1,0
12,1,0
14,1,0
16,1,0
18,1,0
20,1,0
22,1,0
24,1,0
0,2,0
2,2,0
4,2,0
6,2,0
8,2,0
10,2,0
12,2,0
14,2,0
16,2,0
18,2,0
20,2,0
22,2,0
24,2,0
0,3,0
2,3,0
4,3,0
6,3,0
8,3,0
10,3,0
12,3,0
14,3,0
16,3,0
18,3,0
20,3,0
22,3,0
24,3,0
0,4,0
2,4,0
4,4,0
6,4,0
8,4,0
10,4,0
12,4,0
14,4,0
16,4,0
18,4,0
20,4,0
22,4,0
24,4,0
0,5,0
2,5,0
4,5,0
6,5,0
8,5,0
10,5,0
12,5,0
14,5,0
16,5,0
18,5,0
20,5,0
22,5,0
24,5,0
0,6,0
2,6,0
4,6,0
6,6,0
8,6,0
10,6,0
12,6,0
14,6,0
16,6,0
18,6,0
20,6,0
22,6,0
24,6,0
